Tweet,Geo,Location
RT @Ash_Rokzz23: Tathya who is reliable pollster and has ears to the ground and predicted wind of many states perfectly is projecting an sw…,,"Tirunelveli, India"
"On the VVPAT issue, he said, the exercise of the choice in the ballot unit directly goes to the VVPAT and it is not known whether that is what is being recorded in the Control Unit, which counts the votes of the EVM.

https://t.co/LdGRqyeVEY",,India
"RT @sjrkumar: Marxist Intolerance... Sabarimala Karma Samithi has been erecting  hoardings, like the one seen here, across Kerala against C…",,Bangalore
"RT @promzzz: What Bengal thinks today, the rest of india thinks tomorrow. This is still valid. Bengal thought of institutionalised tolabaji…",,
"RT @sunewhyu: ‼️ INTEREST CHECK ‼️ PH 🇵🇭

THE BOYZ LIGHTSTICK PASABUY
– non-profit (need ko lang kahati sa isf)
– fast eta
– second sale ba…",,🇵🇭 
Tollygunge has been deprived of many developmental work by CPIM and TMC candidates over 4 decades. So now Tollygunge With BabulDa,,
RT @taslimanasreen: I was thrown out of West Bengal by CPIM in 2007 and was prevented from entering West Bengal by TMC since 2009. Will I b…,,"BUXAR,BIHAR"
"After dedicatedly working for the people of asansol for last 6 years @SuPriyoBabul is here for the people of Tollygunge Vidhansabha. Tollygunge has been deprived of many devolopments work by CPIM and TMC candidates over 4 decades.
Tollygunge With BabulDa",,
"RT @DeccanHerald: On the VVPAT issue, he said, the exercise of the choice in the ballot unit directly goes to the VVPAT and it is not known…",,"Bengaluru, India"
RT @CPIM_WESTBENGAL: Glimpses of the public campaign at Dumdum in support of the #SanjuktaMorcha supported LF nominated CPIM candidate Pala…,,"Asansol, India"
"@SachinPilot New updates as on 22 March 2021 #WestBengalElections2021
AITUC 180
CONG-CPIM ALLIANCE 93
BJP 13
OTHERS 6
#KeralaAssemblyElections2021
#FarmersProtests 
#BJP 
#TNAssemblyElection2021 
#AssamAssemblyElections2021",,India
"@INCMP New updates as on 22 March 2021 #WestBengalElections2021
AITUC 180
CONG-CPIM ALLIANCE 93
BJP 13
OTHERS 6
#KeralaAssemblyElections2021
#FarmersProtests 
#BJP 
#TNAssemblyElection2021 
#AssamAssemblyElections2021",,India
"@MahilaCongress New updates as on 22 March 2021 #WestBengalElections2021
AITUC 180
CONG-CPIM ALLIANCE 93
BJP 13
OTHERS 6
#KeralaAssemblyElections2021
#FarmersProtests 
#BJP 
#TNAssemblyElection2021 
#AssamAssemblyElections2021",,India
"RT @interlude_hq: [PH GO]
Please RT

@chuinny GOODS BATCH 2

[✔️] 70% DP option available
[ ‼️ ] NO ISF
[🗒️] Details are in the form
[📝] DO…",,Manila
@1974_deepak @DanishAzamWarsi @aajtak @INCWestBengal @INCUttarPradesh @abhaypandey04 @pankhuripathak @RuchiraC @MohitKPandey @SaralPatel @zoo_bear Right,,"Gonda, India"
RT @Ash_Rokzz23: Tathya who is reliable pollster and has ears to the ground and predicted wind of many states perfectly is projecting an sw…,,Bharat
RT @Ash_Rokzz23: Tathya who is reliable pollster and has ears to the ground and predicted wind of many states perfectly is projecting an sw…,,
"UPDATE: SQUARE VERSION

As per PH!LPost, item out for delivery na po, we will be waiting for other parcels to arrive then mag-start na po kami ng shipping :)",,Philippines
"RT @SaralPatel: .@INCWestBengal manifesto for upcoming assembly elections will be released shortly. 

Stay tuned to @INCWestBengal for more…",,"Sangareddi, India"
RT @Ash_Rokzz23: Another  pollster SN News who doesn't get it wrong usually in direction sticks his neck out and gives BJP Sweep in Bengal…,,
"RT @SaralPatel: .@INCWestBengal manifesto for upcoming assembly elections will be released shortly. 

Stay tuned to @INCWestBengal for more…",,"Surat, India"
"MERCARI JAPAN PASABUY!!

We accept any kpop goods or non kpop goods 

Paper Goods ✅
Albums ( limited slots )❌
LS ✅
ETC

&gt;&gt; Payment  ( pay as you order ) 
&gt;&gt; Under Normal ETA

WILL CHECK OUT TODAY",,MANILA/PH BASED 🇵🇭
"RT @promzzz: What Bengal thinks today, the rest of india thinks tomorrow. This is still valid. Bengal thought of institutionalised tolabaji…",,Hindustan
"RT @klawnselling: MERCARI JAPAN PASABUY!!

We accept any kpop goods or non kpop goods 

Paper Goods ✅
Albums ( limited slots )❌
LS ✅
ETC

&gt;…",,ph
RT @Ash_Rokzz23: Another  pollster SN News who doesn't get it wrong usually in direction sticks his neck out and gives BJP Sweep in Bengal…,,
"RT @promzzz: What Bengal thinks today, the rest of india thinks tomorrow. This is still valid. Bengal thought of institutionalised tolabaji…",,"New Delhi, India"
"RT @klawnselling: MERCARI JAPAN PASABUY!!

We accept any kpop goods or non kpop goods 

Paper Goods ✅
Albums ( limited slots )❌
LS ✅
ETC

&gt;…",,블랙핑크  레드벨벳 • we are one jj •
@SrijanForYou @CPIM_WESTBENGAL All 294 candidates must make Tumpa a grand success. Tumpa should reach each &amp; every house of Bengal. And this wall painting should be seen by each and every voter in Bengal before election . Only then and then will CPM form government  @SrijanForYou  : https://t.co/sbEJN1Mnxo,,"Patna, India"
"RT @meerajit: @INCIndia @INCAssam @INCWestBengal
@MahuaMoitra

Please use this opinion of judicial luminary to blast the @BJP4India 
in the…",,"Mumbai, India"
RT @Ash_Rokzz23: Another  pollster SN News who doesn't get it wrong usually in direction sticks his neck out and gives BJP Sweep in Bengal…,,England 
@ANI Releasing with 4 pictures out of which 3 dont care for wb Congress @adhirrcinc @INCWestBengal,,"Lagos, Nigeria"
@budoliboo Hm po isf?,,
RT @Ash_Rokzz23: Tathya who is reliable pollster and has ears to the ground and predicted wind of many states perfectly is projecting an sw…,,England 
"RT @cpimspeak: Election campaign in Tami Nadu is on full swing with door to door campaigns, volunteer meetings and mass contact programs. C…",,
RT @CPIM_WESTBENGAL: Glimpses of the public campaign at Dumdum in support of the #SanjuktaMorcha supported LF nominated CPIM candidate Pala…,,"Bhagalpur, India"
"RT @meerajit: @INCIndia @INCAssam @INCWestBengal
@MahuaMoitra

Please use this opinion of judicial luminary to blast the @BJP4India 
in the…",,
We need four (4) more for the GO to push through! 🥺,,
"You need ideological aggressivness to be in BJP &amp; CPIM

But you need ideological clarity to be in INC

There is a difference!",,"Cochin, India"
"RT @thomasJins: You need ideological aggressivness to be in BJP &amp; CPIM

But you need ideological clarity to be in INC

There is a differenc…",,in your smile
RT @CPIM_WESTBENGAL: Glimpses of the public campaign at Dumdum in support of the #SanjuktaMorcha supported LF nominated CPIM candidate Pala…,,
"RT @AprilFlowerPH: WTS / LFB
BTS Army Membership and Lightstick Purchase Assistance Package

Includes:
☑️ KR address (for kit &amp; ls only)…",,Philippines
"RT @thomasJins: You need ideological aggressivness to be in BJP &amp; CPIM

But you need ideological clarity to be in INC

There is a differenc…",,"Trissur, India"
Lol 😂 47% bjp kuch bhi!!!,,"Lake Town, Kolkata"
I'm so excited for this doll! omg &lt;3,,Metro Manila
"PH GO: BAEKHYUN 3rd Mini Album [Bambi] 🖤

🖤Photobook: P700 all in + LSF 
🖤Jewel: P500 all in + LSF
➖DOO: Mar 29
➖DOP: Apr 15

📝 to those who ordered pls send me dm sa version na gusto niyo, thank youu 🤍 https://t.co/5l2hEhIgcI",,
@krishind07 @ItsYourDev kolkata's gdp is far more than whatever ur knowledge about other cities are. The kind of state it had become at the time of cpim.. lot of public debt. Do u understand how long can it take to clear all those debts?? as a CM.. transforming wb from a communal riot state to welfare.,,
"RT @thomasJins: You need ideological aggressivness to be in BJP &amp; CPIM

But you need ideological clarity to be in INC

There is a differenc…",,Singapore
"RT @SaralPatel: .@INCWestBengal manifesto for upcoming assembly elections will be released shortly. 

Stay tuned to @INCWestBengal for more…",,Pune
"RT @thomasJins: You need ideological aggressivness to be in BJP &amp; CPIM

But you need ideological clarity to be in INC

There is a differenc…",,
"RT @exowonph: PH GO: BAEKHYUN 3rd Mini Album [Bambi] 🖤

🖤Photobook: P700 all in + LSF 
🖤Jewel: P500 all in + LSF
➖DOO: Mar 29
➖DOP: Apr 15…",,
"RT @thomasJins: You need ideological aggressivness to be in BJP &amp; CPIM

But you need ideological clarity to be in INC

There is a differenc…",,
Wee need 4 more to push through. Pabudol na kayo. 😂,,
"RT @chhuti_is: Today's Sanjukta Morcha (@cpimspeak + @INCWestBengal + ISF) rally at Bhangor,  South 24 Pgs. The mainstream media won't show…",,Chennai
"RT @thomasJins: You need ideological aggressivness to be in BJP &amp; CPIM

But you need ideological clarity to be in INC

There is a differenc…",,"Bengaluru, India"
RT @INCWestBengal: Information of @INCWestBengal candidates with pending criminal cases. https://t.co/ObPt6C8tDR,,"Kolkata, India"
RT @INCWestBengal: Information of @INCWestBengal candidates with pending criminal cases. https://t.co/r13lUHN8mg,,"Kolkata, India"
"@VMBJP @CPIMKerala @vijayanpinarayi @narendramodi @AmitShah @JPNadda @JoshiPralhad @surendranbjp This is a tip of iceberg, many might have links with pak Sponsered brides in Kerala. NIA needs to look into this plot. Thanks MOS V Muraleedharan  Ji for exposing the CPIM- PAK connection.",,भारत 
"Participated in door to door campaign for Katulpur Assembly Candidate Akshya Santra. @INCWestBengal is reaching to every door with idea of change, better governance and pro-people policies. 

@INCIndia @RahulGandhi @priyankagandhi https://t.co/vubWclfaPC",,"Sultanpur, New Delhi, JNU"
RT @Ash_Rokzz23: Another  pollster SN News who doesn't get it wrong usually in direction sticks his neck out and gives BJP Sweep in Bengal…,,
@AnkitPaulIND @chhuti_is @cpimspeak @INCWestBengal Thanks,,Kolkata
"Kick Them Out For a Better Bengal..

#জোটেভোট 
#সংযুক্ত_মোর্চা 
#Vote4SanjuktaMorcha 
#BengalNeedsLeft 
#Vote4Left 
#CPIM 
#বামপন্থী https://t.co/4C7X8bRe1f",,"Baruipur, Kolkata"
RT @BPSinghINC_: Participated in door to door campaign for Katulpur Assembly Candidate Akshya Santra. @INCWestBengal is reaching to every d…,,
"RT @thomasJins: You need ideological aggressivness to be in BJP &amp; CPIM

But you need ideological clarity to be in INC

There is a differenc…",,
"RT @thomasJins: You need ideological aggressivness to be in BJP &amp; CPIM

But you need ideological clarity to be in INC

There is a differenc…",,
"for those curious hm isf (direct shipping from jp to ph) - it cost me around Php 1,500 for 1 JPFMV5 dvd last september 

sana bumaba na fees ngaun 🥲",,Pasig City
"RT @SaralPatel: .@INCWestBengal manifesto for upcoming assembly elections will be released shortly. 

Stay tuned to @INCWestBengal for more…",,New Dlehi
RT @Ash_Rokzz23: Tathya who is reliable pollster and has ears to the ground and predicted wind of many states perfectly is projecting an sw…,,
"📣Happy to announce InsuResilience Solutions Fund (ISF) grant agreement! The grant will support the development of an insurance scheme for Nagaland’s State Disaster Response Mitigation Fund (SDRMF). 
👉https://t.co/GHkbjJonJG

@FrankfurtSchool @KfW_FZ_int @TATAAIGIndia @SwissRe",,International
"RT @thomasJins: You need ideological aggressivness to be in BJP &amp; CPIM

But you need ideological clarity to be in INC

There is a differenc…",,"Bengaluru, India"
"RT @meerajit: @INCIndia @INCAssam @INCWestBengal
@MahuaMoitra

Please use this opinion of judicial luminary to blast the @BJP4India 
in the…",,"Delhi, India"
@promzzz @Satyanewshi @CPIM_WESTBENGAL Well said.,,
"RT @WestBengalPMC: No TMC
No BJP

The Real development of Bengal in Congress regime .

Think wisely before you press the button on polling…",,India
"RT @EastMojo: #Nagaland: About 175 plots with 104 landowners and 145 farmers are currently engaged with the model project at Boke Botsa
#Ea…",,"Kohima, Nagaland"
"RT @thomasJins: You need ideological aggressivness to be in BJP &amp; CPIM

But you need ideological clarity to be in INC

There is a differenc…",,"Trivandrum, India"
RT @Ash_Rokzz23: Tathya who is reliable pollster and has ears to the ground and predicted wind of many states perfectly is projecting an sw…,,
RT @BPSinghINC_: Participated in door to door campaign for Katulpur Assembly Candidate Akshya Santra. @INCWestBengal is reaching to every d…,,Sri Ganganagar-Raj
"RT @SeoulShoppersPH: #SShoppersPasabuy
Pls help rt ☺

BTS BE Deluxe UMS Japan PH GO 💜

💸 2350 + isf + lsf
‼️ w/ random member holo pc
‼️70%…",,TURN MY NOTIFS ON ! 
"RT @thomasJins: You need ideological aggressivness to be in BJP &amp; CPIM

But you need ideological clarity to be in INC

There is a differenc…",,
"📣 Happy to announce InsuResilience Solutions Fund (ISF) grant agreement! The grant will support the development of an insurance scheme for Nagaland’s Indian State Disaster Response Mitigation Fund. 
👉https://t.co/GHkbjJonJG 

@FrankfurtSchool @KfW_FZ_int @TATAAIGIndia @SwissRe",,International
"RT @khanthefatima: ""We are witnessing an interesting paradox of an unprecedented acceptance of autonomous Muslim political parties at the h…",,"Uttar Pradesh, India"
"RT @PurpleStellarPH: WTS/LFB PH GO | #PStellarGO

BTS BE Deluxe Edition Lucky Draw Event
from BTS Japan Official Shop

💰 2350php + ISF + LS…",,TURN MY NOTIFS ON ! 
"RT @SaralPatel: .@INCWestBengal manifesto for upcoming assembly elections will be released shortly. 

Stay tuned to @INCWestBengal for more…",,"कोरबा, भारत"
😂 stay safe wherever you are !,,"Mumbai, India"
"RT @thomasJins: You need ideological aggressivness to be in BJP &amp; CPIM

But you need ideological clarity to be in INC

There is a differenc…",,nowhere in particular 
RT @Ash_Rokzz23: Tathya who is reliable pollster and has ears to the ground and predicted wind of many states perfectly is projecting an sw…,,Universe
"RT @sunshopph: #SUNSPHGO | PH GO 🇵🇭

BE DELUXE LUCKY DRAW
🌟 2300 + ISF + LSF (Japan)
🌟 2600 + LSF (Korea)

✅ Official and ordered from stor…",,TURN MY NOTIFS ON ! 
"RT @SaralPatel: .@INCWestBengal manifesto for upcoming assembly elections will be released shortly. 

Stay tuned to @INCWestBengal for more…",,"New Delhi, India"
"RT @promzzz: What Bengal thinks today, the rest of india thinks tomorrow. This is still valid. Bengal thought of institutionalised tolabaji…",,Delhi
RT @InsuResilience: 📣 Happy to announce InsuResilience Solutions Fund (ISF) grant agreement! The grant will support the development of an i…,,
"West Bengal Assembly Elections 2021: Adhir Ranjan Chowdhury Releases Congress Party's Manifesto
#WestBengalAssemblyElections2021 #WestBengalPolls2021 #Congress @INCIndia @INCWestBengal @adhirrcinc 

https://t.co/BG55t3pfVr",,"Mumbai, India"
Good Question. Hope the BJP will allow you to reside in West Bengal @AmitShah @rajnathsingh @narendramodi @HMOIndia @PMOIndia,,Chennai
"@ndtv Is there a Congress Party in WB?! 😳😩 Seriously asking.

@adhirrcinc @INCWestBengal @INCIndia @RahulGandhi @rssurjewala",,Here There & Everywhere
@hoshifieddd Hm inabot isf?,,
"RT @thomasJins: You need ideological aggressivness to be in BJP &amp; CPIM

But you need ideological clarity to be in INC

There is a differenc…",,"Chennai, India"
RT @Ash_Rokzz23: Tathya who is reliable pollster and has ears to the ground and predicted wind of many states perfectly is projecting an sw…,,
RT @Ash_Rokzz23: Tathya who is reliable pollster and has ears to the ground and predicted wind of many states perfectly is projecting an sw…,,India
"RT @ra_saravanan: Dear electorate of #Muthialpet, I appeal before you to vote for CPIM. We will uplift &amp; defend the rights of the oppressed…",,Trivandrum
"RT @belleamepopup: WTS | LFB | HELP RT [#AnotherGOdolniKai]

BE DELUXE LUCKY DRAW M2U OR SW 

2500php + isf + lsf 
~~ open for pooling (bas…",,
"The manifesto of @INCWestBengal for the upcoming #WestBengalElections2021  
@RahulGandhi
@priyankagandhi
@adhirrcinc 
@JitinPrasada 
@DrMdJawaid1
@BPSinghINC_ 
@NepalMahata_INC 
@soumya_aich_roy https://t.co/9XXavuiwRs",,"Bihar, India"
"RT @SaralPatel: .@INCWestBengal manifesto for upcoming assembly elections will be released shortly. 

Stay tuned to @INCWestBengal for more…",,India
"RT @TTabdar: The manifesto of @INCWestBengal for the upcoming #WestBengalElections2021  
@RahulGandhi
@priyankagandhi
@adhirrcinc 
@JitinPr…",,"Kishanganj, India"
"RT @thomasJins: You need ideological aggressivness to be in BJP &amp; CPIM

But you need ideological clarity to be in INC

There is a differenc…",,"Ahmadabad City, India"
RT @ShadabKhanIYC: Heartfelt thanks to AICC &amp; IYC leadership for their continued support and for nominating me as the @INCWestBengal candid…,,
"RT @maramina_: Hosting a nonprofit PH GO for @supertingg and @picklddd TGCF p4p collaboration pin! 

🏷️ Php 1,040.00 to Php 1,144.00
📆 DOO:…",,╮ (￣ 3￣) ╭
"RT @AdritaDutta_07: Pic 1: Election campaign of Com. Shuvam Banarjee #SanjuktaMorcha supported CPI Candidate from Sonarpur South, West Beng…",,"West Bengal, India "
RT @BPSinghINC_: Participated in door to door campaign for Katulpur Assembly Candidate Akshya Santra. @INCWestBengal is reaching to every d…,,"New Delhi, India"
RT @Ash_Rokzz23: Another  pollster SN News who doesn't get it wrong usually in direction sticks his neck out and gives BJP Sweep in Bengal…,,"Najafgarh, New Delhi"
"RT @promzzz: What Bengal thinks today, the rest of india thinks tomorrow. This is still valid. Bengal thought of institutionalised tolabaji…",,"Noida, India"
"RT @thomasJins: You need ideological aggressivness to be in BJP &amp; CPIM

But you need ideological clarity to be in INC

There is a differenc…",,Paris
"KTSulaiman Haji, a CPIM Kerala backed candidate in Kondotty has hidden the details of his 2nd wife, 19 year old Pakistani in his nomination.
#Pinarayi_Vijayan
@BJPKerala1 @BJP4India
@CTRavi_BJP @republic 
@CMOKerala @bajrangsonwane_
@RSSorg @PMOIndia @AmitShahOffice @AskAnshul https://t.co/ZkV8Wl2ttr",,Bengaluru  
"RT @02zcart: wts lfb enhypen ph only pasabuy

jake / sunoo mecima pc photocard

300 (base price) + isf + lsf 

- dop: march 25, 2021 (base…",,🇵🇭
tri gg er warn this isf fkkf pls,,she/her
"RT @bhatia_niraj23: @INCIndia and particularly
@INCWestBengal should run this slide in every rally before any leader commences his/her spee…",,"New Delhi, India"
Price posted will be item price only💙 + isf 'pag dumating na sila sa ph hehe,,officialmiseoulph@gmail.com
RT @CPIM_WESTBENGAL: Sonachura of Nandigram use to be the epicenter of TMC terror a decade ago. Many of our Comrades were murdered &amp; party…,,
"RT @02zcart: all jake TAKEN! 

sunoo still available! 

wts lfb enhypen ph only pasabuy mecima pc photocards ❤️",,🇵🇭
RT @Ash_Rokzz23: Tathya who is reliable pollster and has ears to the ground and predicted wind of many states perfectly is projecting an sw…,,Coimbatore
"RT @thomasJins: You need ideological aggressivness to be in BJP &amp; CPIM

But you need ideological clarity to be in INC

There is a differenc…",,Indus
RT @Ash_Rokzz23: Another  pollster SN News who doesn't get it wrong usually in direction sticks his neck out and gives BJP Sweep in Bengal…,,
"RT @thomasJins: You need ideological aggressivness to be in BJP &amp; CPIM

But you need ideological clarity to be in INC

There is a differenc…",,Aamchi Mumbai ❤️
Good to say Tollygunge has been deprived of many developmental work by CPIM and TMC candidates over 4 decades. @SuPriyoBabul report card as an MP has been phenomenal. He is the one Tollygunge people has decided to trust for the next 5 years. Tollygunge With BabulDa https://t.co/l5QH2OMboT,,
"RT @thomasJins: You need ideological aggressivness to be in BJP &amp; CPIM

But you need ideological clarity to be in INC

There is a differenc…",,
RT @CPIM_WESTBENGAL: Glimpses of the public campaign at Dumdum in support of the #SanjuktaMorcha supported LF nominated CPIM candidate Pala…,,boo!!!! heehee
"After blockbuster manifesto by BJP yesterday, highly unlikely that TMC will cross 100seats mark.. their tally will remain in 2 digits..",,Paris
RT @CPIM_WESTBENGAL: Glimpses of the public campaign at Dumdum in support of the #SanjuktaMorcha supported LF nominated CPIM candidate Pala…,,
"RT @thomasJins: You need ideological aggressivness to be in BJP &amp; CPIM

But you need ideological clarity to be in INC

There is a differenc…",,dUbAi
"RT @desibhakthoon: Left - Congress - ISF = Bengal Alliance :

- Congress would be giving candidate against CPM in Santipur.
- Forward Bloc…",,Bharatvarsh
Work by CPIM and TMC candidates over 4 decades. @SuPriyoBabul . He is the one Tollygunge people has decided to trust for the next 5 years. Tollygunge With BabulDa https://t.co/LdTK63VECa,,"Melbourne, Australia"
RT @Ash_Rokzz23: Another  pollster SN News who doesn't get it wrong usually in direction sticks his neck out and gives BJP Sweep in Bengal…,,
"RT @PaulticsEnglish: Rahul Gandhi to start campaigning in Kerala today

CM Pinarayi Vijayan cautions party workers to not show lapses after…",,New Delhi
"CC with 500K limit requires 💸💸💸💸 income. But yeah, working capital is a must and you sould know hindi lang product itself at ISF ang costs. 

You have variety of operating expenses to consider and please, consider labor too. 

DTI w/o BIR and permit is 💯 illegal.",,North Luzon
"RT @Tweeter_wapsi: After blockbuster manifesto by BJP yesterday, highly unlikely that TMC will cross 100seats mark.. their tally will remai…",,London
"RT @AdritaDutta_07: Pic 1: Election campaign of Com. Shuvam Banarjee #SanjuktaMorcha supported CPI Candidate from Sonarpur South, West Beng…",,"West Bengal, India "
"RT @cpimspeak: CPIM's Senior Leader Ashok Bhattacharya campaigns in Siliguri Assembly constituency, West Bengal. https://t.co/g6p2rmOGxU",,
RT @Ash_Rokzz23: Tathya who is reliable pollster and has ears to the ground and predicted wind of many states perfectly is projecting an sw…,,
"RT @MumbaiIqbal: I have no word! fastest feku in universe ! unbelievable 
Must watch🤦
@PMOIndia @INCWestBengal @INCUPEast @PMOIndia @ndtv @…",,Mumbai instagram@iamiqbalraza
"RT @promzzz: What Bengal thinks today, the rest of india thinks tomorrow. This is still valid. Bengal thought of institutionalised tolabaji…",,
"RT @thomasJins: You need ideological aggressivness to be in BJP &amp; CPIM

But you need ideological clarity to be in INC

There is a differenc…",,Germany
RT @Ash_Rokzz23: Tathya who is reliable pollster and has ears to the ground and predicted wind of many states perfectly is projecting an sw…,,
"RT @thomasJins: You need ideological aggressivness to be in BJP &amp; CPIM

But you need ideological clarity to be in INC

There is a differenc…",,"Nagpur, India"
RT @Ash_Rokzz23: Another  pollster SN News who doesn't get it wrong usually in direction sticks his neck out and gives BJP Sweep in Bengal…,,Madras
"RT @promzzz: What Bengal thinks today, the rest of india thinks tomorrow. This is still valid. Bengal thought of institutionalised tolabaji…",,"🌏🌏, ☀️☀️ system"
"RT @jacscart: FAQs

Fast ETA?
- Maybe yes or maybe no. For MMT, if ever magnormal ETA ako, ISF will be free.

Delivery charges
-As stated a…",,Republic of the Philippines
"RT @MadeForChuPH: ph go for jpn be deluxe lucky draw :)
for holographic pcs ~

price: PHP2300 + isf + lsf
other details can be found on the…",,PH based🇵🇭 ships worldwide🌎
"RT @CPIM_WESTBENGAL: Glimpses of the public campaign at Chanditala, Hooghly in  support of the #SanjuktaMorcha supported LF nominated CPIM…",,
"RT @thomasJins: You need ideological aggressivness to be in BJP &amp; CPIM

But you need ideological clarity to be in INC

There is a differenc…",,"Heart's Content, Newfoundland "
"RT @promzzz: What Bengal thinks today, the rest of india thinks tomorrow. This is still valid. Bengal thought of institutionalised tolabaji…",,"Hyderabad, India"
have 2 slots for UMS &amp; 1 slot for JP FC! :) pls fill up the form if you wanna buy.,,PH based🇵🇭 ships worldwide🌎
"RT @promzzz: What Bengal thinks today, the rest of india thinks tomorrow. This is still valid. Bengal thought of institutionalised tolabaji…",,मारवाड़ ( Marwar )
"interest check / ic || wts lfb

was able to secure be deluxe album lucky draw from universal music store (ums) japan

- 4 slots available
- random holo photocard (no pooling)
- price tbd but it will be: base price + isf + lsf

message me if interested!",,
"RT @cpimspeak: Election campaign in Tami Nadu is on full swing with door to door campaigns, volunteer meetings and mass contact programs. C…",,Caliphate
"ISF rally at Bhangar yesterday.

This is a seat to watch. It might have little impact on government formation but the Bhangar result might have some very significant long term effects on West Bengal politics. https://t.co/QejzhYBDNY",,India
"RT @Tweeter_wapsi: After blockbuster manifesto by BJP yesterday, highly unlikely that TMC will cross 100seats mark.. their tally will remai…",,
RT @Ajaykumar00009: @PrashantKishor @MahuaMoitra @INCWestBengal @CPIM_WESTBENGAL If You convince to SC ST OBC caste that BJP govt is #priva…,,"Bangalore,india my priority"
"RT @ShoaibDaniyal: ISF rally at Bhangar yesterday.

This is a seat to watch. It might have little impact on government formation but the Bh…",,Guwahati Assam 
"Backbone of Communism must be the power of Resistance against Privatisation.
How can CPIM have more issues against Didi than Modi?",,"Calcutta, India"
"RT @belleamepopup: WTS | LFB | HELP RT [#AnotherGOdolniKai]

BE DELUXE LUCKY DRAW M2U OR SW 

2500php + isf + lsf 
~~ open for pooling (bas…",,she/ her= Bi ★  18yo
"RT @thomasJins: You need ideological aggressivness to be in BJP &amp; CPIM

But you need ideological clarity to be in INC

There is a differenc…",,
"RT @thomasJins: You need ideological aggressivness to be in BJP &amp; CPIM

But you need ideological clarity to be in INC

There is a differenc…",,"Goa, India"
RT @taslimanasreen: I was thrown out of West Bengal by CPIM in 2007 and was prevented from entering West Bengal by TMC since 2009. Will I b…,,
"RT @smiling4youxxx: help rt :)) tenchuuu 💙
https://t.co/52BAGKirgy",,"multif, 19"
RT @Ash_Rokzz23: Tathya who is reliable pollster and has ears to the ground and predicted wind of many states perfectly is projecting an sw…,,
"Latest statistics:
- 1047 tickets for 2019-10-16
- 12 investigated accidents for 2020-05-31 (1 deaths, 16 injuries)
https://t.co/AcIgpU8O2P",,Lebanon
"RT @aitcmadhusudan: For @BJP4Bengal the manifesto is nothing but a piece of paper to fool people and get votes.
@MamataOfficial @abhishekai…",,
"@narendra52 @captrajlakhani @PoliticsMedi I don't think so! But, it might happen that nobody gets the majority &amp; Cong+left+ISF would support TMC to form Govt.",,🌏🌃🔭
RT @RoshanLalBittu: Visited @INCWestBengal war room and spent good time with @INCIndia Social Media Team along with its National Convenor &amp;…,,महाराष्ट्र
RT @RoshanLalBittu: Visited @INCWestBengal war room and spent good time with @INCIndia Social Media Team along with its National Convenor &amp;…,,New Delhi - Kolkata 
RT @CENTCOM: #Coalition jets conducted 133 precision airstrikes in support of @iraqicts ground ops in Qarachogh MTN to #DefeatDaesh @CJTFOI…,,"New York, USA"
"RT @allaboutcaratph: #aac_go

COSMOPOLITAN KOREA MAGAZINE PH GO

Magazine: PHP 450 (LSF not inclu)
RELEASE: 04/04
ETA: Normal ETA (3-4 week…",,Quezon City | Est. Nov 2020
"RT @thomasJins: CPIM crushed CPI like anything. This election will see near death of CPI in Kerala.

CPI will either die, merge or allign w…",,
RT @CENTCOM: #Coalition jets conducted 133 precision airstrikes in support of @iraqicts ground ops in Qarachogh MTN to #DefeatDaesh @CJTFOI…,,
"RT @allaboutcaratph: #aac_go

COSMOPOLITAN KOREA MAGAZINE PH GO

Magazine: PHP 450 (LSF not inclu)
RELEASE: 04/04
ETA: Normal ETA (3-4 week…",,Quezon City | Est. Nov 2020
"RT @allaboutcaratph: #aac_go 

AAC THE8 10P ARENA HOMME+ APRIL MAG PH GO

✅ Magazine - PHP: 450 (local sf not included)
✅ RELEASE: 03/26
✅…",,Quezon City | Est. Nov 2020
RT @Ash_Rokzz23: Tathya who is reliable pollster and has ears to the ground and predicted wind of many states perfectly is projecting an sw…,,
RT @RoshanLalBittu: Visited @INCWestBengal war room and spent good time with @INCIndia Social Media Team along with its National Convenor &amp;…,,INDIA
RT @RoshanLalBittu: Visited @INCWestBengal war room and spent good time with @INCIndia Social Media Team along with its National Convenor &amp;…,,"Barmer, India"
RT @mohan71105: @thomasJins @chennithala Great success 👏👍👌 And a set back to #LDF - total silence on the part CPIM on this issue does give…,,"Trivandrum , india"
RT @CENTCOM: #Coalition jets conducted 133 precision airstrikes in support of @iraqicts ground ops in Qarachogh MTN to #DefeatDaesh @CJTFOI…,,
RT @RoshanLalBittu: Visited @INCWestBengal war room and spent good time with @INCIndia Social Media Team along with its National Convenor &amp;…,,INDIA
"we all Feel proud of.  
We all should unite and back of Farmers who are doing Aandolan for past 120 days. Lets all for once unite and overthrow this #Humdo_Hamaredo ki crony capitalist ki sarkaar. 
Jai Hind Jai Bharat 
Jai Jawaan Jai Kisaan
@INCIndia @INCAssam @INCWestBengal",,
"RT @OIRSpox: As part of our ongoing partnership with the ISF in the fight to #DefeatDaesh, @Coalition jets conducted 133 precision airstrik…",,
RT @Ash_Rokzz23: Tathya who is reliable pollster and has ears to the ground and predicted wind of many states perfectly is projecting an sw…,,"Sardarshahar, India"
